"","taxon","glottocode","xd_ids","soc_ids","ea_id","in_dplace","EA023","EA024","EA025","EA026","EA027","in_kinbank","mMeB","mMyB","mFeB","mFyB","mF","bm_F","...19","mMeZ","mMyZ","mFeZ","mFyZ","mM","bm_M","notes","ccm"
"A22_Bakweri","A22_Bakweri","mokp1239","xd138","Ae2","Ae2",1,7,8,15,9,NA,1,"mólalo; móla","mólalo; móla","tatℇ; melá","tatℇ; melá","sango; tatè; rángó",1,NA,"iyℇ; atí","iyℇ; atí","iyℇ; atí","iyℇ; atí","nyángo; iya; iyáké; iyé; jéjé",0,NA,0
"A32C_Batanga","A32C_Batanga","bata1285","xd168","Ae47","Ae47",1,8,7,15,9,NA,1,"ntodu wa nyangwé","ndembé wa nyangwé","ntodu wa hangwé","ndembé wa hangwé","hangwé; paé; paya",1,NA,"sita wa nyangwé","iluhu ya nyangwé","sita wa hangwé","nyongwé","iné; nyangwé; ina",0,NA,0
"B85_Yanzi","B85_Yanzi","yans1239","xd51","Ac26","Ac26",1,8,7,15,9,NA,1,"tɔ̀ɔ̀nyèèr; lém","tɔ̀ɔ̀nyèèr; lém","tɔ̀ɔ̀nyèèr","tɔ̀ɔ̀nyèèr","tåã",0,NA,NA,NA,"ta mukar; nkéé; etjul","ta mukar; nkéé; etjul","måã",-1,NA,0
"C61E_Konda","C61E_Konda","ekon1238","xd139","Ae20","Ae20",1,7,8,15,9,NA,1,"nyangobika","nyangobika","ise","ise","fafa",0,NA,"nyango","nyango","isomoto","isomoto","nyango",1,NA,0
"D24_Songola","D24_Songola","song1300","xd129","Ae11","Ae11",1,7,8,15,9,4,1,"munso","munso","asa moto","asa moto","asa",1,NA,"ngu","ngu","ngu","ngu","ngu",0,NA,0
"E51_Kikuyu","E51_Kikuyu","kiku1240","xd109","Ad4, SCCS11","Ad4",1,7,8,15,9,6,1,"mama","mama","baba m'uk'ur'u","baba munyinyi","baba",1,NA,"tata","tata","tata","tata","maiitu",0,NA,0
"E53_Meru","E53_Meru","meru1245","xd104","Ad35","Ad35",1,8,7,15,9,NA,1,"muntuetû","muntuetû","baaba mûkûrû","baaba mwanake","baaba",1,NA,"ciomûkûrû; ciomûkûrû","ciomwanake; ciomwanake",NA,NA,"icia",-1,NA,0
"E72a_Giryama","E72a_Giryama","giry1241","xd101","Ad32","Ad32",1,8,7,15,9,7,1,"ahu","ahu","bam'zhere","bam'hoho","baba",0,NA,"hmam'zhere","hmam'hoho","tsangazimi","tsangazimi","hmama",1,NA,0
"F21_Sukuma","F21_Sukuma","suku1261","xd90","Ad22","Ad22",1,7,8,15,9,1,1,"maarrub","maarrub","baba","baba","þaaþå",0,NA,"mayu","mayu","sèèngi","sèèngi","maayu",1,NA,0
"Fefe_Grassfields","Fefe_Grassfields","fefe1239","xd171","Ae5","Ae5",1,7,8,15,9,NA,1,"mbega; múmæ̀mɔ̀","mbega; múmæ̀mɔ̀","mbega","mbega","mbega; papaga; tá; tálà; tá; mbà; tšâš; tšât",1,NA,NA,NA,"mumètálà","mumètálà","owa; mɔ̀; pámɔ̀; mànə̄̀ŋ; má; mà; mšàšmu",-1,NA,0
"G11_Gogo","G11_Gogo","gogo1263","xd92","Ad24","Ad24",1,1,3,2,2,5,1,"kuku","kuku","baba","baba","soga",0,NA,"yaya","yaya","nyinahenga","nyinahenga","yaya",1,NA,1
"G34_Nguungulu","G34_Nguungulu","ngul1246","xd122","Ad51","Ad51",1,8,7,15,9,5,1,NA,NA,"tate mkulu","tate mdodo","tate",-1,NA,"mame mkulu","mame mdodo","mame mkulu","mame mdodo","mame",0,NA,0
"H16a_Kisikongo_2013","H16a_Kisikongo_2013","sans1272","xd38","Ac14","Ac14",1,1,3,15,9,NA,1,"ngudi","ngudi","mpangi a tata","mbunji a tata","tata",1,NA,"ngudi","ngudi",NA,NA,"ngwa",-1,NA,1
"H16c_Yombe","H16c_Yombe","yomb1244","xd74","Ac8","Ac8",1,8,7,15,9,NA,1,"ngwa khazi","ngwa khazi","papa nkulutu","papa nleki","tata",0,NA,"mama nkulutu","mama nleki","papa nketo","papa nketo","mama",1,NA,0
"JD53_Shi","JD53_Shi","shii1238","xd131","Ae13","Ae13",1,1,3,15,9,5,1,"nyaama-lume","nyaama-lume","mulåarhaa","mulåarhaa","låarhaa",1,NA,"nyama","nyama","nyåamashenge","nyåamashenge","mubuguma",0,NA,1
"JD66_Kiha","JD66_Kiha","haaa1252","xd132","Ae14","Ae14",1,1,3,15,9,5,1,"marume; marume","marume; marume","baba mkubwa","baba mdogo","data; data",0,NA,"mamamuto","mamamuto","senge; senge","senge; senge","mama",1,NA,1
"JE11_Runyoro","JE11_Runyoro","nyor1246","xd87","Ad2","Ad2",1,8,7,15,9,6,1,"ongundwe; ongundwe","ongundwe; ongundwe","isento","isento","ise; ise",1,NA,"nyinento","nyinento","isenkati","isenkati","mama; mama",0,NA,0
"JE16_Lusoga","JE16_Lusoga","soga1242","xd116","Ad46","Ad46",1,7,8,15,9,6,1,"kogya; kogya","kogya; kogya","kogya","lata omuto","lata",0,NA,"songa; songa","mukaire omuto","songa","songa","mukaire",1,NA,0
"JE42_Gusii","JE42_Gusii","gusi1247","xd79","Ad12","Ad12",1,8,7,15,9,NA,1,"maamé","maamé","taatámoke","taatámoke","taata",1,NA,NA,NA,NA,NA,"baabá",-1,NA,0
"K21_Lozi","K21_Lozi","lozi1239","xd26","Ab3, SCCS4","Ab3",1,7,8,15,9,4,1,"me","me","ndate yo muhulu","ndate yo munyinyani","ndole",0,NA,"me yomuhulu","me yomunginyani","ndate wa musali","ndate wa musali","me",1,NA,0
"Kom_Grassfields","Kom_Grassfields","komc1235","xd176","Ae54","Ae54",1,8,7,15,9,NA,1,"lù msɨ nì","lù msɨ nì","lù msɨ nì","lù msɨ nì","bæ̀; bò",0,NA,NA,NA,NA,NA,"nà wà yn; nì ni; nà",-1,NA,0
"L11_Pende","L11_Pende","phen1239","xd44","Ac2","Ac2",1,9,4,6,3,1,1,"ginathu; lemba","ginathu; lemba","tǎta; ginathu; lemba","tǎta; ginathu; lemba","tata",1,NA,"mǎma","mǎma","tǎta","tǎta","gina",0,NA,0
"L31a_Luba-Kasai","L31a_Luba-Kasai","luba1250","xd182","Ae6","Ae6",1,8,7,15,9,NA,1,"mansewa mu-ishio","mansewa mu-ishio","táátu mukulu","táátu mwååkunyi","tata",1,NA,"baaba mukulu","baaba mwååkunyi","mankaji","mankaji","ina",0,NA,0
"L35_Sanga","L35_Sanga","sang1331","xd137","Ae19","Ae19",1,6,4,15,9,5,1,"manseva","manseva","tata","tata","tata",1,NA,NA,NA,NA,NA,"ina",-1,NA,1
"L41_Kaonde","L41_Kaonde","kaon1241","xd58","Ac32","Ac32",1,1,3,2,2,5,1,"mwinsho","mwinsho","mwinsho","mwinsho","tata",0,NA,"mama","mama","tatankazhi","tatankazhi","mama",1,NA,1
"M31_Nyakyusa","M31_Nyakyusa","nyak1260","xd123, xd83","Ad6, SCCS8, Ad16","Ad6",1,7,8,15,9,5,1,NA,NA,"taata unkulumba","taata unnandi","tata",1,NA,"mama unkulumba","mama unnandi","unnyasenga","unnyasenga","juuba",0,NA,0
"M52_Lala","M52_Lala","lala1264","xd59","Ac33","Ac33",1,6,4,15,9,5,1,"umwisyo","umwisyo","nyinalume","nyinalume","wata",0,NA,"wama munini","wama munini","wawo","wawo","wama",1,NA,1
"M64_Tonga","M64_Tonga","tong1321","xd37","Ac13","Ac13",1,1,3,2,2,5,1,"simwiesu","simwiesu","taata","taata","taata",1,NA,"bamaama","bamaama","bamaama","bamaama","bamaama",0,NA,1
